"Word","Count","Gender"
"battl",2,"Male"
"bipolar",2,"Male"
"boss",2,"Male"
"bout",2,"Male"
"brain",2,"Male"
"broken",2,"Male"
"candidaci",2,"Male"
"carri",2,"Male"
"certainti",2,"Male"
"choic",2,"Male"
"clearanc",2,"Male"
"cognit",2,"Male"
"colleagu",2,"Male"
"compar",2,"Male"
"compromis",2,"Male"
"concess",2,"Male"
"consider",2,"Male"
"convinc",2,"Male"
"cope",2,"Male"
"cos",2,"Male"
"cost",2,"Male"
"count",2,"Male"
"cover",2,"Male"
"cowork",2,"Male"
"crap",2,"Male"
"creat",2,"Male"
"deem",2,"Male"
"degre",2,"Male"
"desir",2,"Male"
"despit",2,"Male"
"diseas",2,"Male"
"disqualif",2,"Male"
"doctor",2,"Male"
"dont",2,"Male"
"door",2,"Male"
"duti",2,"Male"
"easi",2,"Male"
"elimin",2,"Male"
"engin",2,"Male"
"environ",2,"Male"
"equip",2,"Male"
"exampl",2,"Male"
"eye",2,"Male"
"fail",2,"Male"
"fake",2,"Male"
"famili",2,"Male"
"field",2,"Male"
"fix",2,"Male"
"flag",2,"Male"
"focus",2,"Male"
"friend",2,"Male"
"fulltim",2,"Male"
"function",2,"Male"
"futur",2,"Male"
"gone",2,"Male"
"handl",2,"Male"
"head",2,"Male"
"held",2,"Male"
"hidden",2,"Male"
"hold",2,"Male"
"hospit",2,"Male"
"impair",2,"Male"
"implicit",2,"Male"
"impress",2,"Male"
"instal",2,"Male"
"instanc",2,"Male"
"insur",2,"Male"
"invis",2,"Male"
"irrelev",2,"Male"
"judgement",2,"Male"
"label",2,"Male"
"larg",2,"Male"
"last",2,"Male"
"level",2,"Male"
"liabil",2,"Male"
"line",2,"Male"
"long",2,"Male"
"market",2,"Male"
"matter",2,"Male"
"medic",2,"Male"
"mental",2,"Male"
"meth",2,"Male"
"moment",2,"Male"
"necessari",2,"Male"
"next",2,"Male"
"note",2,"Male"
"now",2,"Male"
"nuanc",2,"Male"
"oblig",2,"Male"
"offici",2,"Male"
"opportun",2,"Male"
"order",2,"Male"
"organ",2,"Male"
"other",2,"Male"
"overal",2,"Male"
"particular",2,"Male"
"parttim",2,"Male"
"pay",2,"Male"
"peer",2,"Male"
"pertin",2,"Male"
"play",2,"Male"
"plus",2,"Male"
"poor",2,"Male"
"prefer",2,"Male"
"pretti",2,"Male"
"privileg",2,"Male"
"programm",2,"Male"
"progress",2,"Male"
"prompt",2,"Male"
"proof",2,"Male"
"prove",2,"Male"
"provid",2,"Male"
"qualifi",2,"Male"
"quick",2,"Male"
"rais",2,"Male"
"realiz",2,"Male"
"recent",2,"Male"
"reflect",2,"Male"
"refus",2,"Male"
"respond",2,"Male"
"resum",2,"Male"
"revok",2,"Male"
"riski",2,"Male"
"run",2,"Male"
"secret",2,"Male"
"secur",2,"Male"
"shame",2,"Male"
"short",2,"Male"
"show",2,"Male"
"small",2,"Male"
"sometim",2,"Male"
"somewhat",2,"Male"
"speak",2,"Male"
"specif",2,"Male"
"stand",2,"Male"
"strong",2,"Male"
"stupid",2,"Male"
"surpris",2,"Male"
"system",2,"Male"
"taken",2,"Male"
"task",2,"Male"
"tend",2,"Male"
"term",2,"Male"
"thus",2,"Male"
"told",2,"Male"
"tough",2,"Male"
"treatment",2,"Male"
"trigger",2,"Male"
"ultim",2,"Male"
"unabl",2,"Male"
"uncertain",2,"Male"
"unknown",2,"Male"
"unnecessari",2,"Male"
"unsur",2,"Male"
"upsid",2,"Male"
"vulner",2,"Male"
"weaker",2,"Male"
"weigh",2,"Male"
"weird",2,"Male"
"wife",2,"Male"
"wish",2,"Male"
"yet",2,"Male"
"“drama”",1,"Male"
"absolut",1,"Male"
"abstract",1,"Male"
"accord",1,"Male"
"accus",1,"Male"
"acknowledg",1,"Male"
"across",1,"Male"
"activ",1,"Male"
"activist",1,"Male"
"ada",1,"Male"
"adderal",1,"Male"
"adjust",1,"Male"
"admin",1,"Male"
"administ",1,"Male"
"advanc",1,"Male"
"advis",1,"Male"
"advoc",1,"Male"
"afford",1,"Male"
"afloat",1,"Male"
"agenda",1,"Male"
"agreement",1,"Male"
"ahead",1,"Male"
"aloof",1,"Male"
"alter",1,"Male"
"analog",1,"Male"
"anybodi",1,"Male"
"anywher",1,"Male"
"appar",1,"Male"
"appoint",1,"Male"
"apt",1,"Male"
"arrog",1,"Male"
"asinin",1,"Male"
"aspect",1,"Male"
"assumpt",1,"Male"
"attempt",1,"Male"
"attent",1,"Male"
"attribut",1,"Male"
"autist",1,"Male"
"awesom",1,"Male"
"baggag",1,"Male"
"bail",1,"Male"
"behaviour",1,"Male"
"behind",1,"Male"
"belong",1,"Male"
"benefici",1,"Male"
"beyond",1,"Male"
"binniz",1,"Male"
"black",1,"Male"
"blank",1,"Male"
"block",1,"Male"
"bodi",1,"Male"
"bottomlin",1,"Male"
"break",1,"Male"
"bridg",1,"Male"
"build",1,"Male"
"burden",1,"Male"
"burn",1,"Male"
"came",1,"Male"
"canidaci",1,"Male"
"card",1,"Male"
"care",1,"Male"
"carpet",1,"Male"
"chalk",1,"Male"
"chasm",1,"Male"
"check",1,"Male"
"chemistri",1,"Male"
"choosi",1,"Male"
"chosen",1,"Male"
"circumstanti",1,"Male"
"classifi",1,"Male"
"client",1,"Male"
"clinic",1,"Male"
"closedmind",1,"Male"
"code",1,"Male"
"coffin",1,"Male"
"color",1,"Male"
"commit",1,"Male"
"common",1,"Male"
"communic",1,"Male"
"competit",1,"Male"
"compil",1,"Male"
"complet",1,"Male"
"concept",1,"Male"
"confin",1,"Male"
"conflict",1,"Male"
"conserv",1,"Male"
"context",1,"Male"
"contribut",1,"Male"
"control",1,"Male"
"correct",1,"Male"
"cottl",1,"Male"
"could",1,"Male"
"counsellor",1,"Male"
"countri",1,"Male"
"coupl",1,"Male"
"cours",1,"Male"
"coverag",1,"Male"
"crack",1,"Male"
"crappi",1,"Male"
"cross",1,"Male"
"crunch",1,"Male"
"cult",1,"Male"
"danger",1,"Male"
"date",1,"Male"
"dead",1,"Male"
"decid",1,"Male"
"decisionmak",1,"Male"
"degrad",1,"Male"
"demand",1,"Male"
"deni",1,"Male"
"denial",1,"Male"
"denomin",1,"Male"
"describ",1,"Male"
"deserv",1,"Male"
"desper",1,"Male"
"detail",1,"Male"
"deter",1,"Male"
"deterior",1,"Male"
"detriment",1,"Male"
"develop",1,"Male"
"diagnosi",1,"Male"
"disbeliev",1,"Male"
"dismiss",1,"Male"
"disregard",1,"Male"
"dissip",1,"Male"
"disson",1,"Male"
"dissuad",1,"Male"
"divulg",1,"Male"
"dock",1,"Male"
"document",1,"Male"
"don",1,"Male"
"dosag",1,"Male"
"drug",1,"Male"
"duh",1,"Male"
"dynam",1,"Male"
"ear",1,"Male"
"earth",1,"Male"
"easier",1,"Male"
"easili",1,"Male"
"educ",1,"Male"
"efficaci",1,"Male"
"effort",1,"Male"
"either",1,"Male"
"els",1,"Male"
"embarass",1,"Male"
"embrac",1,"Male"
"empath",1,"Male"
"empathet",1,"Male"
"enigma",1,"Male"
"enjoy",1,"Male"
"enquiri",1,"Male"
"entrust",1,"Male"
"episod",1,"Male"
"equival",1,"Male"
"essenti",1,"Male"
"ethic",1,"Male"
"eventu",1,"Male"
"everi",1,"Male"
"everyth",1,"Male"
"exact",1,"Male"
"execut",1,"Male"
"exercis",1,"Male"
"expand",1,"Male"
"expens",1,"Male"
"explicit",1,"Male"
"expos",1,"Male"
"express",1,"Male"
"extend",1,"Male"
"extent",1,"Male"
"extract",1,"Male"
"extrem",1,"Male"
"fals",1,"Male"
"familiar",1,"Male"
"favor",1,"Male"
"favour",1,"Male"
"file",1,"Male"
"filter",1,"Male"
"fine",1,"Male"
"footbal",1,"Male"
"forehead",1,"Male"
"forese",1,"Male"
"forestal",1,"Male"
"forthcom",1,"Male"
"fortun",1,"Male"
"forward",1,"Male"
"frame",1,"Male"
"freedom",1,"Male"
"frequent",1,"Male"
"frown",1,"Male"
"full",1,"Male"
"fulli",1,"Male"
"fun",1,"Male"
"furthermor",1,"Male"
"gate",1,"Male"
"gaug",1,"Male"
"gay",1,"Male"
"generalis",1,"Male"
"german",1,"Male"
"gift",1,"Male"
"gig",1,"Male"
"given",1,"Male"
"gloss",1,"Male"
"gonna",1,"Male"
"googl",1,"Male"
"grappl",1,"Male"
"greater",1,"Male"
"groundbreak",1,"Male"
"group",1,"Male"
"grow",1,"Male"
"guess",1,"Male"
"happi",1,"Male"
"harder",1,"Male"
"healthcar",1,"Male"
"healthi",1,"Male"
"heath",1,"Male"
"higher",1,"Male"
"highlight",1,"Male"
"hindranc",1,"Male"
"hine",1,"Male"
"hirabl",1,"Male"
"home",1,"Male"
"hope",1,"Male"
"horribl",1,"Male"
"hostil",1,"Male"
"hurdl",1,"Male"
"iddu",1,"Male"
"idea",1,"Male"
"idk",1,"Male"
"ime",1,"Male"
"imho",1,"Male"
"imo",1,"Male"
"imped",1,"Male"
"impedi",1,"Male"
"implic",1,"Male"
"imposs",1,"Male"
"improv",1,"Male"
"incap",1,"Male"
"includ",1,"Male"
"increas",1,"Male"
"incred",1,"Male"
"incur",1,"Male"
"indefinit",1,"Male"
"india",1,"Male"
"indic",1,"Male"
"indirect",1,"Male"
"infomr",1,"Male"
"inher",1,"Male"
"inhibit",1,"Male"
"injur",1,"Male"
"instead",1,"Male"
"intang",1,"Male"
"intellig",1,"Male"
"interest",1,"Male"
"interfer",1,"Male"
"interpret",1,"Male"
"interviewe",1,"Male"
"intimid",1,"Male"
"intoler",1,"Male"
"introduc",1,"Male"
"involv",1,"Male"
"issu",1,"Male"
"jan",1,"Male"
"jeapodis",1,"Male"
"jeapordis",1,"Male"
"jjjjjj",1,"Male"
"jump",1,"Male"
"justifi",1,"Male"
"kill",1,"Male"
"known",1,"Male"
"land",1,"Male"
"leg",1,"Male"
"lesser",1,"Male"
"letter",1,"Male"
"lighten",1,"Male"
"likelihood",1,"Male"
"live",1,"Male"
"llvm",1,"Male"
"loath",1,"Male"
"longer",1,"Male"
"love",1,"Male"
"low",1,"Male"
"luckili",1,"Male"
"mad",1,"Male"
"madden",1,"Male"
"major",1,"Male"
"maldunct",1,"Male"
"man",1,"Male"
"manic",1,"Male"
"manifest",1,"Male"
"massiv",1,"Male"
"mayb",1,"Male"
"meet",1,"Male"
"mentor",1,"Male"
"merit",1,"Male"
"mess",1,"Male"
"metal",1,"Male"
"minimum",1,"Male"
"minor",1,"Male"
"mistak",1,"Male"
"misunderstand",1,"Male"
"mitig",1,"Male"
"mysteri",1,"Male"
"nail",1,"Male"
"naiv",1,"Male"
"name",1,"Male"
"nasti",1,"Male"
"negetivli",1,"Male"
"negoti",1,"Male"
"nervous",1,"Male"
"neurotyp",1,"Male"
"niet",1,"Male"
"non",1,"Male"
"nonexist",1,"Male"
"nonhir",1,"Male"
"nonthreaten",1,"Male"
"norm",1,"Male"
"normal",1,"Male"
"notic",1,"Male"
"nowaday",1,"Male"
"nut",1,"Male"
"nutrit",1,"Male"
"observ",1,"Male"
"obsess",1,"Male"
"obstruct",1,"Male"
"occasion",1,"Male"
"ocd",1,"Male"
"offhand",1,"Male"
"offic",1,"Male"
"openplan",1,"Male"
"opiat",1,"Male"
"optimum",1,"Male"
"osmi",1,"Male"
"outset",1,"Male"
"outsid",1,"Male"
"overcom",1,"Male"
"overshadow",1,"Male"
"oversleep",1,"Male"
"overt",1,"Male"
"panic",1,"Male"
"pass",1,"Male"
"past",1,"Male"
"pennsylvania",1,"Male"
"perfect",1,"Male"
"period",1,"Male"
"perspect",1,"Male"
"pertain",1,"Male"
"phd",1,"Male"
"physicalunless",1,"Male"
"pleas",1,"Male"
"poorer",1,"Male"
"ppl",1,"Male"
"preced",1,"Male"
"preinterview",1,"Male"
"prescript",1,"Male"
"present",1,"Male"
"presum",1,"Male"
"pretenc",1,"Male"
"pretext",1,"Male"
"primari",1,"Male"
"proactiv",1,"Male"
"probationari",1,"Male"
"prolong",1,"Male"
"promin",1,"Male"
"promis",1,"Male"
"promot",1,"Male"
"psoriasi",1,"Male"
"psycholog",1,"Male"
"ptsdrelat",1,"Male"
"purpos",1,"Male"
"push",1,"Male"
"qualif",1,"Male"
"quiet",1,"Male"
"racial",1,"Male"
"ramif",1,"Male"
"ramp",1,"Male"
"readi",1,"Male"
"realist",1,"Male"
"receiv",1,"Male"
"recept",1,"Male"
"recours",1,"Male"
"red",1,"Male"
"refer",1,"Male"
"reform",1,"Male"
"regular",1,"Male"
"reli",1,"Male"
"reliabl",1,"Male"
"reliant",1,"Male"
"render",1,"Male"
"repres",1,"Male"
"reput",1,"Male"
"reserv",1,"Male"
"responsibitliy",1,"Male"
"retali",1,"Male"
"review",1,"Male"
"roadblock",1,"Male"
"rough",1,"Male"
"safe",1,"Male"
"scenario",1,"Male"
"seek",1,"Male"
"sell",1,"Male"
"send",1,"Male"
"sens",1,"Male"
"sensit",1,"Male"
"serv",1,"Male"
"servic",1,"Male"
"sgi",1,"Male"
"shape",1,"Male"
"sheet",1,"Male"
"shroom",1,"Male"
"sick",1,"Male"
"side",1,"Male"
"silent",1,"Male"
"simpl",1,"Male"
"simpli",1,"Male"
"sit",1,"Male"
"skeptic",1,"Male"
"sleep",1,"Male"
"slipperi",1,"Male"
"slope",1,"Male"
"slower",1,"Male"
"smart",1,"Male"
"smile",1,"Male"
"smp",1,"Male"
"softwar",1,"Male"
"solicit",1,"Male"
"somebodi",1,"Male"
"someone’",1,"Male"
"son",1,"Male"
"sotuat",1,"Male"
"space",1,"Male"
"spill",1,"Male"
"ssdi",1,"Male"
"stabe",1,"Male"
"stage",1,"Male"
"standpoint",1,"Male"
"startup",1,"Male"
"status",1,"Male"
"steer",1,"Male"
"step",1,"Male"
"stereotyp",1,"Male"
"stigmatis",1,"Male"
"stop",1,"Male"
"stranger",1,"Male"
"strength",1,"Male"
"strict",1,"Male"
"stronger",1,"Male"
"struggl",1,"Male"
"subject",1,"Male"
"sudden",1,"Male"
"suffici",1,"Male"
"suppos",1,"Male"
"suss",1,"Male"
"sweep",1,"Male"
"sympathi",1,"Male"
"sys",1,"Male"
"tattoo",1,"Male"
"techi",1,"Male"
"technic",1,"Male"
"termin",1,"Male"
"terribl",1,"Male"
"test",1,"Male"
"thank",1,"Male"
"theoret",1,"Male"
"therapist",1,"Male"
"third",1,"Male"
"thorough",1,"Male"
"thread",1,"Male"
"thsn",1,"Male"
"ticket",1,"Male"
"tip",1,"Male"
"toler",1,"Male"
"tone",1,"Male"
"tool",1,"Male"
"total",1,"Male"
"town",1,"Male"
"train",1,"Male"
"trap",1,"Male"
"travel",1,"Male"
"trend",1,"Male"
"true",1,"Male"
"trump",1,"Male"
"twice",1,"Male"
"two",1,"Male"
"typic",1,"Male"
